class_idx,n_samples,mean_weight,std_weight,p10,p50,p90
103,191,0.5999999642372131,0.19859333336353302,0.31368422508239746,0.6021053194999695,0.8547368049621582
104,184,0.6000000238418579,0.21055422723293304,0.29289618134498596,0.6131147742271423,0.8841530084609985
105,188,0.5999999642372131,0.20868663489818573,0.29433155059814453,0.614973247051239,0.8716577291488647
106,190,0.6000000238418579,0.21271160244941711,0.29523810744285583,0.6486772894859314,0.858624279499054
107,189,0.6000000238418579,0.19985920190811157,0.295319139957428,0.6404255628585815,0.83957439661026
108,185,0.6000000238418579,0.20685414969921112,0.2956521511077881,0.591304361820221,0.8830434679985046
109,189,0.5999999642372131,0.2147214412689209,0.295319139957428,0.6212765574455261,0.8897872567176819
110,186,0.5999999642372131,0.19914300739765167,0.3037837743759155,0.6108108162879944,0.8464864492416382
111,180,0.6000000238418579,0.19233272969722748,0.3204469382762909,0.6044692993164062,0.8328491449356079
112,189,0.5999999642372131,0.21976250410079956,0.3063829839229584,0.6191489100456238,0.8838297724723816
113,182,0.6000000834465027,0.18439732491970062,0.3332596719264984,0.6265193819999695,0.8183425068855286
114,181,0.6000000238418579,0.22031153738498688,0.30000001192092896,0.6000000238418579,0.902222216129303
115,189,0.5999999642372131,0.20894348621368408,0.31063830852508545,0.5936170220375061,0.8638297915458679
116,183,0.6000000238418579,0.2091776579618454,0.2694505751132965,0.6351648569107056,0.8628571629524231
117,190,0.6000000238418579,0.20889946818351746,0.2821164131164551,0.644444465637207,0.8647618889808655
118,186,0.5999999642372131,0.2073228359222412,0.2843243181705475,0.6194594502449036,0.8702702522277832
119,183,0.5999999046325684,0.19293175637722015,0.3305494785308838,0.6021978259086609,0.8540659546852112
120,186,0.6000000238418579,0.21547818183898926,0.28864866495132446,0.6000000238418579,0.883243203163147
121,187,0.6000000238418579,0.20924030244350433,0.2873118221759796,0.6172043085098267,0.8696774244308472
122,182,0.5999999642372131,0.21508674323558807,0.2910497486591339,0.6220994591712952,0.8718231916427612
123,182,0.6000000238418579,0.2144804745912552,0.2956905961036682,0.6176795363426208,0.8870717883110046
124,181,0.6000000238418579,0.20586103200912476,0.30222222208976746,0.5955556035041809,0.8755555748939514
125,186,0.5999999642372131,0.21595332026481628,0.31783783435821533,0.5870270133018494,0.9102702140808105
126,187,0.6000000238418579,0.16740792989730835,0.3453763723373413,0.6322580575942993,0.800000011920929
127,185,0.6000000238418579,0.21881480515003204,0.2917391359806061,0.604347825050354,0.8939130306243896
128,186,0.5999999642372131,0.20266926288604736,0.2864864766597748,0.6086486577987671,0.8432432413101196
129,186,0.5999999642372131,0.1967935413122177,0.2897297441959381,0.6324324011802673,0.8356756567955017
130,190,0.6000000238418579,0.20447371900081635,0.31365078687667847,0.5915343761444092,0.8628571033477783
131,186,0.6000000238418579,0.19471727311611176,0.3470270335674286,0.6000000238418579,0.860540509223938
132,184,0.6000000238418579,0.20968234539031982,0.29683059453964233,0.6109289526939392,0.8668851852416992
133,188,0.6000000238418579,0.1994338184595108,0.3150801956653595,0.5935829281806946,0.865882396697998
134,181,0.6000000238418579,0.21712209284305573,0.2777777910232544,0.6133333444595337,0.8733333349227905
135,178,0.6000000238418579,0.21647943556308746,0.2890395522117615,0.6180791258811951,0.8815819621086121
136,190,0.6000000238418579,0.21005333960056305,0.294603168964386,0.6211640238761902,0.8814814686775208
137,190,0.5999999642372131,0.2043628841638565,0.3151322603225708,0.614814817905426,0.8584126830101013
138,173,0.6000000238418579,0.20983631908893585,0.29581397771835327,0.6186046600341797,0.8911628127098083
139,186,0.5999999642372131,0.20701777935028076,0.29513514041900635,0.6129729747772217,0.8724324107170105
140,181,0.6000000238418579,0.18811781704425812,0.3311111330986023,0.6244444251060486,0.8333333134651184
141,188,0.6000000238418579,0.22092078626155853,0.2930481433868408,0.5871657729148865,0.8919786214828491
142,189,0.6000000238418579,0.2084289789199829,0.3119148910045624,0.6127659678459167,0.8893616795539856
143,183,0.5999999642372131,0.21534505486488342,0.2800000309944153,0.6087912321090698,0.8874725103378296
