label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
412,22,195,0.04786306247,0.8181818128,0.7272727489,0.09090906382
413,2,20,0.03421646357,0,0,0
414,18,159,0.03221494332,0.8888888955,0.8333333135,0.05555558205
415,16,141,0.02822599187,1,0.9375,0.0625
416,24,217,0.04333643615,0.5416666865,0.5,0.04166668653
417,17,155,0.04518918321,0.8235294223,0.7058823705,0.1176470518
418,15,135,0.039130155,0.7333333492,0.7333333492,0
419,23,211,0.03865439072,0.6521739364,0.7391304374,-0.08695650101
420,19,169,0.03550007939,0.7894737124,0.7368420959,0.05263161659
421,24,221,0.02410107106,0.9583333135,0.9166666865,0.04166662693
422,17,156,0.03875435889,0.8235294223,0.7058823705,0.1176470518
423,22,203,0.04789869487,0.8636363745,0.7727272511,0.09090912342
424,19,171,0.0376560092,0.4736842215,0.4210526347,0.05263158679
425,19,174,0.02287026122,1,1,0
426,23,203,0.03535149246,0.3913043439,0.3043478131,0.08695653081
427,25,222,0.0345800668,0.6800000072,0.6800000072,0
428,18,158,0.03613405675,0.777777791,0.777777791,0
429,23,210,0.04300949723,0.5217391253,0.3913043439,0.1304347813
430,23,210,0.03788729757,0.7826086879,0.6086956263,0.1739130616
431,14,127,0.04170084372,0.4285714328,0.2857142985,0.1428571343
432,24,206,0.05356718227,0.2916666567,0.2083333284,0.08333332837
433,17,152,0.02981434204,0.9411764741,0.9411764741,0
434,24,221,0.03885910287,0.8333333135,0.75,0.08333331347
435,19,171,0.02931586653,0.8421052694,0.7894737124,0.05263155699
436,16,147,0.04754347354,0.3125,0.1875,0.125
437,18,160,0.0324591957,0.8333333135,0.8333333135,0
438,23,207,0.0469066985,0.6956521869,0.5652173758,0.1304348111
439,22,198,0.0343679823,0.8181818128,0.8181818128,0
440,19,169,0.03896090388,0.8421052694,0.7368420959,0.1052631736
441,21,193,0.03542272374,0.6666666865,0.6666666865,0
442,18,164,0.03038317896,0.722222209,0.722222209,0
